year,id,age,rank,male,run_count,years_since_run,time_in_secs,prev_year
2009,14365,20,368,0,0,-1,12995,-1
2014,14365,25,190,0,2,4,12601,2010
2010,14371,25,922,0,1,1,15077,2009
2009,14371,24,1148,0,0,-1,15239,-1
2009,14373,29,1194,0,0,-1,15371,-1
2010,14373,30,267,0,1,1,12926,2009
2009,14384,41,404,0,0,-1,13099,-1
2012,14384,44,458,0,1,3,13191,2009
2011,14396,43,2806,1,1,2,18324,2009
2009,14396,41,1472,1,0,-1,16165,-1
2009,14398,45,330,1,0,-1,12852,-1
2010,14398,45,257,1,1,1,12879,2009
2009,14399,45,2759,1,0,-1,24805,-1
2010,14399,46,2737,1,1,1,21842,2009
2013,14409,50,834,1,2,2,13064,2011
2011,14409,48,3346,1,1,2,21152,2009
2009,14409,46,1193,1,0,-1,15370,-1
2015,14410,45,2457,1,1,6,20292,2009
2009,14410,41,2561,1,0,-1,20712,-1
2010,14411,58,1799,0,1,1,17288,2009
2009,14411,57,2086,0,0,-1,17978,-1
2009,14417,49,303,0,0,-1,12706,-1
2013,14417,53,601,0,1,4,12682,2009
2009,14418,40,1293,1,0,-1,15629,-1
2011,14418,42,2648,1,1,2,17900,2009
2009,14419,24,2596,1,0,-1,21037,-1
2010,14419,25,2631,1,1,1,20857,2009
2009,14424,34,1431,1,0,-1,16020,-1
2010,14424,35,1154,1,1,1,15679,2009
2011,14431,45,1450,1,2,1,15142,2010
2009,14431,43,1000,1,0,-1,14870,-1
2010,14431,44,948,1,1,1,15147,2009
2009,14438,29,1604,1,0,-1,16520,-1
2010,14438,30,1959,1,1,1,17769,2009
2011,14440,28,574,1,1,2,13237,2009
2009,14440,26,234,1,0,-1,12461,-1
2010,14445,41,1277,0,1,1,15987,2009
2009,14445,40,1914,0,0,-1,17374,-1
2011,14447,38,2271,1,1,2,16916,2009
2009,14447,36,2080,1,0,-1,17951,-1
2009,14450,43,515,1,0,-1,13431,-1
2011,14450,45,1195,1,1,2,14539,2009
2009,14451,51,735,1,0,-1,14058,-1
2012,14451,54,1363,1,1,3,15185,2009
2010,14452,18,417,1,1,1,13648,2009
2009,14452,17,728,1,0,-1,14039,-1
2014,14452,22,1516,1,3,3,16289,2011
2011,14452,19,561,1,2,1,13204,2010
2009,14460,46,1575,0,0,-1,16444,-1
2010,14460,47,1705,0,1,1,17034,2009
2011,14460,48,2108,0,2,1,16529,2010
2009,14465,32,2273,0,0,-1,18866,-1
2011,14465,34,3283,0,1,2,20639,2009
2009,14477,29,173,1,0,-1,12132,-1
2014,14477,34,322,1,1,5,13211,2009
2010,14483,40,2641,0,1,1,20944,2009
2012,14483,42,3033,0,2,2,18790,2010
2009,14483,39,2418,0,0,-1,19654,-1
2010,14486,22,1064,1,1,1,15434,2009
2009,14486,21,1095,1,0,-1,15126,-1
2009,14489,25,532,1,0,-1,13494,-1
2015,14489,30,215,1,1,6,12514,2009
2009,14492,57,2459,1,0,-1,19893,-1
2010,14492,58,2573,1,1,1,20397,2009
2011,14492,59,3174,1,2,1,19849,2010
2010,14504,54,1430,0,1,1,16349,2009
2012,14504,56,2450,0,2,2,17358,2010
2009,14504,53,1477,0,0,-1,16181,-1
2014,14504,58,1941,0,3,2,17208,2012
2010,14508,49,2628,1,1,1,20825,2009
2011,14508,50,3346,1,2,1,21152,2010
2009,14508,48,2151,1,0,-1,18228,-1
2012,14511,40,3758,1,2,1,22194,2011
2011,14511,39,3300,1,1,2,20768,2009
2009,14511,37,2346,1,0,-1,19273,-1
2009,14516,44,2370,0,0,-1,19428,-1
